strategy,requirement,generated,executable,valid_rate,passing_correct,correct_pass_rate,useful,bug_detection_rate,bugs_total,bugs_killed,mutation_score,redundant_tests,min_suite_size,essential_tests,kills_per_test_mean
direct,ALL,581,581,1.0,576,0.9914,421,0.7309,75,73,0.9733,389,39,11,1.8599
direct,req_001,6,6,1.0,6,1.0,5,0.8333,5,5,1.0,0,3,2,1.6
direct,req_002,26,26,1.0,26,1.0,14,0.5385,5,5,1.0,11,4,3,1.2143
direct,req_003,18,18,1.0,18,1.0,9,0.5,5,5,1.0,6,4,3,1.1111
direct,req_004,36,36,1.0,36,1.0,20,0.5556,5,5,1.0,19,3,0,1.25
direct,req_005,48,48,1.0,48,1.0,18,0.375,5,5,1.0,16,2,0,1.8333
direct,req_006,62,62,1.0,62,1.0,20,0.3226,5,5,1.0,19,4,0,1.1
direct,req_007,77,77,1.0,76,0.987,67,0.8816,5,5,1.0,66,2,0,1.8955
direct,req_008,30,30,1.0,30,1.0,28,0.9333,5,5,1.0,26,2,2,1.5714
direct,req_009,48,48,1.0,48,1.0,48,1.0,5,5,1.0,47,2,0,2.0
direct,req_010,33,33,1.0,32,0.9697,30,0.9375,5,5,1.0,27,3,0,2.3
direct,req_011,9,9,1.0,9,1.0,8,0.8889,5,4,0.8,7,2,1,1.5
direct,req_012,32,32,1.0,32,1.0,25,0.7812,5,4,0.8,25,2,0,1.68
direct,req_013,52,52,1.0,52,1.0,49,0.9423,5,5,1.0,46,2,0,2.5306
direct,req_014,53,53,1.0,51,0.9623,36,0.7059,5,5,1.0,32,2,0,2.25
direct,req_015,51,51,1.0,50,0.9804,44,0.88,5,5,1.0,42,2,0,1.6591
two_step,ALL,433,433,1.0,422,0.9746,307,0.7275,75,72,0.96,272,41,13,1.7231
two_step,req_001,29,29,1.0,28,0.9655,26,0.9286,5,5,1.0,26,4,0,1.0769
two_step,req_002,21,21,1.0,21,1.0,11,0.5238,5,5,1.0,8,4,3,1.2727
two_step,req_003,15,15,1.0,15,1.0,8,0.5333,5,5,1.0,5,4,3,1.125
two_step,req_004,21,21,1.0,21,1.0,8,0.381,5,5,1.0,4,3,2,1.375
two_step,req_005,29,29,1.0,29,1.0,12,0.4138,5,5,1.0,8,2,0,1.6667
two_step,req_006,41,41,1.0,41,1.0,16,0.3902,5,5,1.0,15,4,1,1.125
two_step,req_007,59,59,1.0,55,0.9322,47,0.8545,5,5,1.0,45,3,2,1.8085
two_step,req_008,37,37,1.0,37,1.0,29,0.7838,5,4,0.8,28,2,1,1.6552
two_step,req_009,34,34,1.0,32,0.9412,32,1.0,5,5,1.0,32,2,0,2.0312
two_step,req_010,26,26,1.0,25,0.9615,24,0.96,5,5,1.0,18,2,0,2.2917
two_step,req_011,18,18,1.0,18,1.0,16,0.8889,5,4,0.8,15,2,1,1.1875
two_step,req_012,35,35,1.0,32,0.9143,23,0.7188,5,4,0.8,23,2,0,1.6087
two_step,req_013,25,25,1.0,25,1.0,21,0.84,5,5,1.0,17,2,0,2.7143
two_step,req_014,20,20,1.0,20,1.0,15,0.75,5,5,1.0,12,3,0,2.1333
two_step,req_015,23,23,1.0,23,1.0,19,0.8261,5,5,1.0,16,2,0,1.6316
