requirement,strategy,mutants_total,mutants_killed,mutants_survived,mutants_timeout,mutants_suspicious,mutation_score_auto,status
req_001,direct,26,25,1,0,0,0.9615,ok
req_001,two_step,26,23,3,0,0,0.8846,ok
req_002,direct,15,15,0,0,0,1.0,ok
req_002,two_step,15,15,0,0,0,1.0,ok
req_003,direct,18,18,0,0,0,1.0,ok
req_003,two_step,18,18,0,0,0,1.0,ok
req_004,direct,24,24,0,0,0,1.0,ok
req_004,two_step,24,24,0,0,0,1.0,ok
req_005,direct,33,28,5,0,0,0.8485,ok
req_005,two_step,33,28,5,0,0,0.8485,ok
req_006,direct,28,27,1,0,0,0.9643,ok
req_006,two_step,28,27,1,0,0,0.9643,ok
req_007,direct,49,45,2,2,0,0.9184,ok
req_007,two_step,49,44,3,2,0,0.898,ok
req_008,direct,17,16,1,0,0,0.9412,ok
req_008,two_step,17,16,1,0,0,0.9412,ok
req_009,direct,5,5,0,0,0,1.0,ok
req_009,two_step,5,5,0,0,0,1.0,ok
req_010,direct,11,11,0,0,0,1.0,ok
req_010,two_step,11,11,0,0,0,1.0,ok
req_011,direct,17,12,5,0,0,0.7059,ok
req_011,two_step,17,12,5,0,0,0.7059,ok
req_012,direct,58,50,8,0,0,0.8621,ok
req_012,two_step,58,50,8,0,0,0.8621,ok
req_013,direct,28,27,1,0,0,0.9643,ok
req_013,two_step,28,25,3,0,0,0.8929,ok
req_014,direct,17,17,0,0,0,1.0,ok
req_014,two_step,17,17,0,0,0,1.0,ok
req_015,direct,26,26,0,0,0,1.0,ok
req_015,two_step,26,26,0,0,0,1.0,ok
