requirement,strategy,test,correct,bug_001,bug_002,bug_003,bug_004,bug_005,classification
req_001,direct,test_negative_value_returns_zero,pass,pass,pass,fail,pass,pass,useful
req_001,direct,test_unknown_customer_type_treated_as_common,pass,fail,pass,pass,fail,fail,useful
req_001,direct,test_value_above_100_common_customer_5_percent_discount,pass,pass,pass,pass,fail,pass,useful
req_001,direct,test_value_above_100_premium_customer_10_percent_discount,pass,pass,fail,pass,pass,pass,useful
req_001,direct,test_value_up_to_100_no_discount,pass,fail,pass,pass,pass,fail,useful
req_001,direct,test_zero_value,pass,pass,pass,pass,pass,pass,weak
req_001,two_step,test_calculate_final_price_discount_common_customer[rounding_common_float_precision],pass,pass,pass,pass,fail,pass,useful
req_001,two_step,test_calculate_final_price_discount_common_customer[rounding_common_half_up_1],pass,pass,pass,pass,fail,pass,useful
req_001,two_step,test_calculate_final_price_discount_common_customer[rounding_common_half_up_2],pass,pass,pass,pass,fail,pass,useful
req_001,two_step,test_calculate_final_price_discount_common_customer[rounding_common_half_up_3],pass,pass,pass,pass,fail,pass,useful
req_001,two_step,test_calculate_final_price_discount_common_customer[value_1000_common],pass,pass,pass,pass,fail,pass,useful
req_001,two_step,test_calculate_final_price_discount_common_customer[value_200_common_AC2],pass,pass,pass,pass,fail,pass,useful
req_001,two_step,test_calculate_final_price_discount_common_customer[value_just_above_limit_common],pass,pass,pass,pass,fail,pass,useful
req_001,two_step,test_calculate_final_price_discount_premium_customer[rounding_premium_half_up_1],pass,pass,fail,pass,pass,pass,useful
req_001,two_step,test_calculate_final_price_discount_premium_customer[rounding_premium_half_up_2],pass,pass,fail,pass,pass,pass,useful
req_001,two_step,test_calculate_final_price_discount_premium_customer[rounding_premium_half_up_3],pass,pass,fail,pass,pass,pass,useful
req_001,two_step,test_calculate_final_price_discount_premium_customer[value_1000_premium],pass,pass,fail,pass,pass,pass,useful
req_001,two_step,test_calculate_final_price_discount_premium_customer[value_200_premium_AC3],pass,pass,fail,pass,pass,pass,useful
req_001,two_step,test_calculate_final_price_discount_premium_customer[value_just_above_limit_premium],pass,pass,fail,pass,pass,pass,useful
req_001,two_step,test_calculate_final_price_negative_values_return_zero[negative_value_common],pass,pass,pass,fail,pass,pass,useful
req_001,two_step,test_calculate_final_price_negative_values_return_zero[negative_value_large],pass,pass,pass,fail,pass,pass,useful
req_001,two_step,test_calculate_final_price_negative_values_return_zero[negative_value_premium_close_to_zero],pass,pass,pass,fail,pass,pass,useful
req_001,two_step,test_calculate_final_price_no_discount_up_to_100[rounding_no_discount],pass,pass,pass,pass,pass,fail,useful
req_001,two_step,test_calculate_final_price_no_discount_up_to_100[value_at_limit_common_AC1],pass,fail,pass,pass,pass,fail,useful
req_001,two_step,test_calculate_final_price_no_discount_up_to_100[value_at_limit_premium],pass,fail,pass,pass,pass,fail,useful
req_001,two_step,test_calculate_final_price_no_discount_up_to_100[value_just_above_zero_premium],pass,pass,pass,pass,pass,pass,weak
req_001,two_step,test_calculate_final_price_no_discount_up_to_100[value_just_below_limit],pass,pass,pass,pass,pass,fail,useful
req_001,two_step,test_calculate_final_price_no_discount_up_to_100[value_mid_range_common],pass,pass,pass,pass,pass,fail,useful
req_001,two_step,test_calculate_final_price_no_discount_up_to_100[value_mid_range_premium],pass,pass,pass,pass,pass,fail,useful
req_001,two_step,test_calculate_final_price_no_discount_up_to_100[value_zero],pass,pass,pass,pass,pass,pass,weak
req_001,two_step,test_calculate_final_price_unknown_customer_type_treated_as_common[empty_customer_type],pass,pass,pass,pass,fail,pass,useful
req_001,two_step,test_calculate_final_price_unknown_customer_type_treated_as_common[none_customer_type],pass,pass,pass,pass,fail,pass,useful
req_001,two_step,test_calculate_final_price_unknown_customer_type_treated_as_common[unknown_customer_type_AC5],pass,pass,pass,pass,fail,pass,useful
req_001,two_step,test_calculate_final_price_unknown_customer_type_treated_as_common[uppercase_common_customer_type],pass,pass,pass,pass,fail,pass,useful
req_001,two_step,test_calculate_final_price_unknown_customer_type_treated_as_common[uppercase_premium_customer_type],fail,fail,fail,fail,pass,fail,invalid
req_002,direct,test_validate_password_invalid[!@#$%^&*],pass,pass,pass,pass,pass,fail,useful
req_002,direct,test_validate_password_invalid[123456789],pass,pass,pass,pass,pass,fail,useful
req_002,direct,test_validate_password_invalid[12345678],pass,pass,pass,pass,pass,fail,useful
req_002,direct,test_validate_password_invalid[1234567],pass,pass,pass,pass,pass,pass,weak
req_002,direct,test_validate_password_invalid[ABCDEF1!],pass,pass,pass,pass,pass,fail,useful
req_002,direct,test_validate_password_invalid[ABC],pass,pass,pass,pass,pass,pass,weak
req_002,direct,test_validate_password_invalid[Abc1!],pass,pass,pass,pass,pass,pass,weak
req_002,direct,test_validate_password_invalid[Abcde1!],pass,pass,pass,pass,pass,pass,weak
req_002,direct,test_validate_password_invalid[Abcdef],pass,pass,pass,pass,pass,pass,weak
req_002,direct,test_validate_password_invalid[Abcdefg!],pass,pass,pass,fail,pass,fail,useful
req_002,direct,test_validate_password_invalid[Abcdefg1],pass,pass,pass,pass,fail,fail,useful
req_002,direct,test_validate_password_invalid[AbcdefgH],pass,pass,pass,pass,pass,fail,useful
req_002,direct,test_validate_password_invalid[Abcdefg],pass,pass,pass,pass,pass,pass,weak
req_002,direct,test_validate_password_invalid[Abcdefgh],pass,pass,pass,pass,pass,fail,useful
req_002,direct,test_validate_password_invalid[PASSWORD],pass,pass,pass,pass,pass,fail,useful
req_002,direct,test_validate_password_invalid[],pass,pass,pass,pass,pass,pass,weak
req_002,direct,test_validate_password_invalid[abc],pass,pass,pass,pass,pass,pass,weak
req_002,direct,test_validate_password_invalid[abcdef1!],pass,pass,fail,pass,pass,fail,useful
req_002,direct,test_validate_password_invalid[abcdefgh!],pass,pass,pass,pass,pass,fail,useful
req_002,direct,test_validate_password_invalid[password],pass,pass,pass,pass,pass,fail,useful
req_002,direct,test_validate_password_valid[A1b2C3d4!],pass,pass,pass,pass,pass,pass,weak
req_002,direct,test_validate_password_valid[Abcdef1!],pass,fail,pass,pass,pass,pass,useful
req_002,direct,test_validate_password_valid[MyStrongP@ssw0rd!],pass,pass,pass,pass,pass,pass,weak
req_002,direct,test_validate_password_valid[P@ssw0rd123ABC],pass,pass,pass,pass,pass,pass,weak
req_002,direct,test_validate_password_valid[Teste123@],pass,pass,pass,pass,pass,pass,weak
req_002,direct,test_validate_password_valid[aB1!cDeF],pass,fail,pass,pass,pass,pass,useful
req_002,two_step,test_validate_password_empty,pass,pass,pass,pass,pass,pass,weak
req_002,two_step,test_validate_password_invalid_all_types_but_too_short,pass,pass,pass,pass,pass,pass,weak
req_002,two_step,test_validate_password_invalid_length_boundary,pass,pass,pass,pass,pass,pass,weak
req_002,two_step,test_validate_password_invalid_no_digit,pass,pass,pass,fail,pass,fail,useful
req_002,two_step,test_validate_password_invalid_no_lowercase,pass,pass,pass,pass,pass,fail,useful
req_002,two_step,test_validate_password_invalid_no_symbol,pass,pass,pass,pass,fail,fail,useful
req_002,two_step,test_validate_password_invalid_no_uppercase,pass,pass,fail,pass,pass,fail,useful
req_002,two_step,test_validate_password_invalid_only_digits,pass,pass,pass,pass,pass,fail,useful
req_002,two_step,test_validate_password_invalid_only_lowercase,pass,pass,pass,pass,pass,fail,useful
req_002,two_step,test_validate_password_invalid_only_spaces,pass,pass,pass,pass,pass,fail,useful
req_002,two_step,test_validate_password_invalid_only_uppercase,pass,pass,pass,pass,pass,fail,useful
req_002,two_step,test_validate_password_invalid_short_no_uppercase,pass,pass,pass,pass,pass,pass,weak
req_002,two_step,test_validate_password_invalid_too_short,pass,pass,pass,pass,pass,pass,weak
req_002,two_step,test_validate_password_valid_longer_length,pass,pass,pass,pass,pass,pass,weak
req_002,two_step,test_validate_password_valid_min_length,pass,fail,pass,pass,pass,pass,useful
req_002,two_step,test_validate_password_valid_multiple_char_types,pass,pass,pass,pass,pass,pass,weak
req_002,two_step,test_validate_password_valid_symbol_middle,pass,pass,pass,pass,pass,pass,weak
req_002,two_step,test_validate_password_valid_symbol_start_end,pass,pass,pass,pass,pass,pass,weak
req_002,two_step,test_validate_password_valid_uncommon_symbol_tilde,pass,fail,pass,pass,pass,pass,useful
req_002,two_step,test_validate_password_valid_uncommon_symbol_underscore,pass,fail,pass,pass,pass,pass,useful
req_002,two_step,test_validate_password_valid_with_space_symbol,pass,pass,pass,pass,pass,pass,weak
req_003,direct,test_age_bracket_classification[-1-invalido],pass,pass,pass,fail,pass,pass,useful
req_003,direct,test_age_bracket_classification[-100-invalido],pass,pass,pass,fail,pass,pass,useful
req_003,direct,test_age_bracket_classification[-5-invalido],pass,pass,pass,fail,pass,pass,useful
req_003,direct,test_age_bracket_classification[0-crianca],pass,pass,pass,pass,pass,pass,weak
req_003,direct,test_age_bracket_classification[1-crianca],pass,pass,pass,pass,pass,pass,weak
req_003,direct,test_age_bracket_classification[100-idoso],pass,pass,pass,pass,fail,pass,useful
req_003,direct,test_age_bracket_classification[11-crianca],pass,pass,pass,pass,pass,pass,weak
req_003,direct,test_age_bracket_classification[12-adolescente],pass,fail,pass,pass,pass,pass,useful
req_003,direct,test_age_bracket_classification[120-idoso],pass,pass,pass,pass,fail,pass,useful
req_003,direct,test_age_bracket_classification[15-adolescente],pass,pass,pass,pass,pass,pass,weak
req_003,direct,test_age_bracket_classification[17-adolescente],pass,pass,pass,pass,pass,pass,weak
req_003,direct,test_age_bracket_classification[18-adulto],pass,pass,pass,pass,pass,fail,useful
